date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016/3/11,14.97,14.97,14.75,14.49,25404.35,-0.26,-1.73,15.242,15.111,15.463,28010.79,42130.01,41207.64
2016/3/10,15.25,15.41,15.01,15.01,23066.78,-0.26,-1.7,15.33,15.121,15.491,36743.87,43122.33,41836.92
2016/3/9,15.48,15.6,15.28,15.15,20976.41,-0.47,-2.98,15.552,15.126,15.498,52025.3,46415.77,42688.1
2016/3/8,15.5,15.77,15.75,14.8,38950.69,0.28,1.81,15.532,15.272,15.457,57655.74,49088.54,42748.5
2016/3/7,15.17,15.75,15.42,15.17,31655.71,0.25,1.65,15.262,15.315,15.397,55793.65,49035.54,42909.74
2016/3/4,15.84,16.15,15.19,15,69069.78,-0.92,-5.71,14.98,15.421,15.331,56249.24,49817.06,42683.49
2016/3/3,15.1,16.71,16.12,15.1,99473.9,0.93,6.12,14.912,15.51,15.27,49500.78,45833.66,41144
2016/3/2,14.4,15.2,15.18,14.36,49128.62,0.77,5.34,14.7,15.496,15.142,40806.25,40538.11,37521.07
2016/3/1,14.02,14.6,14.4,14.02,29640.23,0.38,2.71,15.012,15.589,15.083,40521.34,40836.92,37091.56
2016/2/29,14.82,14.93,14.01,13.8,33933.66,-0.86,-5.78,15.368,15.711,15.089,42277.42,40856.24,37507.06
2016/2/26,15.15,15.39,14.85,14.31,35327.51,-0.21,-1.39,15.862,15.815,15.184,43384.88,40285.26,37425.58
2016/2/25,16.5,16.61,15.06,15.06,56001.21,-1.67,-9.98,16.108,15.86,15.22,42166.54,40551.51,36923.42
2016/2/24,15.98,16.75,16.74,15.83,47704.09,0.56,3.46,16.292,15.869,15.237,40269.97,38960.43,36390.4
2016/2/23,16.56,16.58,16.18,15.7,38420.64,-0.29,-1.76,16.166,15.642,15.2,41152.5,36408.46,36212.09
2016/2/22,16.35,16.59,16.48,16.22,39470.97,0.39,2.42,16.054,15.479,15.202,39435.06,36783.95,36796.83
2016/2/19,15.92,16.18,16.08,15.3,29235.78,0.11,0.69,15.768,15.241,15.156,37185.64,35549.91,36920.67
2016/2/18,16.12,16.36,15.98,15.8,46518.39,-0.14,-0.87,15.612,15.03,15.123,38936.48,36454.33,37611.85
2016/2/17,15.6,16.7,16.11,15.55,52116.73,0.5,3.2,15.446,14.788,15.121,37650.88,34504.03,38697.37
2016/2/16,15.11,15.71,15.62,15.1,29833.41,0.59,3.92,15.118,14.576,15.08,31664.42,33346.21,38743.47
