,code,name,date,nums,nlast,count,clast,amount,ratio
220,600693,东百集团,2015-03-31,6,-12,914.63,-1893.14,11698.15,1.33
221,600690,青岛海尔,2015-03-31,29,-183,12442.86,-16363.15,321523.40,2.29
222,600688,上海石化,2015-03-31,9,-79,13710.99,4069.49,75136.20,1.88
223,600687,刚泰控股,2015-03-31,6,1,136.90,134.31,3666.17,0.13
224,600686,金龙汽车,2015-03-31,8,-28,880.61,-1715.46,17665.02,1.99
225,600685,中船防务,2015-03-31,10,-67,306.53,-3612.03,13021.46,0.56
226,600683,京投发展,2015-03-31,2,-30,4975.81,-3195.25,46523.86,6.72
227,600682,南京新百,2015-03-31,15,-2,1787.67,800.14,52521.69,2.46
228,600677,航天通信,2015-03-31,8,-15,4062.98,-2950.19,94389.90,9.76
229,600674,川投能源,2015-03-31,13,-135,3187.85,-11155.48,71822.26,0.72
230,600666,奥瑞德,2015-03-31,2,-7,188.19,-64.60,4324.67,0.38
231,600664,哈药股份,2015-03-31,3,-91,1252.60,-7826.85,12889.24,0.50
232,600663,陆家嘴,2015-03-31,6,-113,487.28,-2077.11,18277.89,0.20
233,600661,新南洋,2015-03-31,11,-10,1971.89,-827.22,94473.42,10.87
234,600660,福耀玻璃,2015-03-31,12,-121,1876.45,-12734.95,31393.02,0.94
235,600658,电子城,2015-03-31,2,-22,9.80,-172.69,159.05,0.02
236,600657,信达地产,2015-03-31,6,-91,1439.50,-11427.98,13632.06,0.94
237,600655,豫园商城,2015-03-31,7,-116,973.87,-6576.16,14306.19,0.68
238,600654,*ST中安,2015-03-31,2,-41,4.90,-458.55,50.91,0.01
239,600651,飞乐音响,2015-03-31,7,-63,1210.23,-5495.81,13675.56,1.57
240,600650,锦江投资,2015-03-31,1,-22,304.47,-1149.01,5562.68,0.78
241,600649,城投控股,2015-03-31,6,-89,2149.45,-3931.51,26315.02,0.89
242,600648,外高桥,2015-03-31,2,-91,30.66,-859.43,1072.04,0.03
243,600647,同达创业,2015-03-31,1,-5,138.46,-388.05,3267.71,1.00
244,600645,中源协和,2015-03-31,27,-61,1803.38,-1661.45,119077.43,5.09
245,600644,乐山电力,2015-03-31,1,-3,422.77,391.32,4417.94,1.29
246,600643,爱建集团,2015-03-31,30,-46,5340.46,1202.86,100400.72,3.72
247,600642,申能股份,2015-03-31,1,-100,1.09,-9393.66,8.55,0.00
248,600637,东方明珠,2015-03-31,16,-115,2453.66,-385.67,121481.59,1.13
249,600633,浙数文化,2015-03-31,2,-82,30.00,-1490.25,668.10,0.03
250,600629,华建集团,2015-03-31,1,-4,600.57,-123.16,14143.36,1.73
251,600620,天宸股份,2015-03-31,1,-7,3.52,-202.54,53.02,0.01
252,600617,国新能源,2015-03-31,6,-12,1636.41,-236.81,54410.72,1.82
253,600614,鹏起科技,2015-03-31,2,-42,53.69,-937.26,1271.84,0.05
254,600612,老凤祥,2015-03-31,2,-67,897.22,-1558.07,40644.27,2.83
255,600601,方正科技,2015-03-31,17,-30,952.22,-832.11,8389.09,0.43
256,600600,青岛啤酒,2015-03-31,11,-123,1251.13,-2295.09,53223.11,1.80
257,600598,北大荒,2015-03-31,3,-14,817.22,-971.82,12724.16,0.46
258,600597,光明乳业,2015-03-31,19,-140,1721.30,-4120.98,39106.63,1.41
259,600596,新安股份,2015-03-31,1,-54,989.12,-1497.10,12492.58,1.46
260,600595,中孚实业,2015-03-31,2,-7,1999.97,1089.06,14339.82,1.15
261,600594,益佰制药,2015-03-31,19,-99,1852.40,-8716.20,81487.05,2.34
262,600593,大连圣亚,2015-03-31,2,-6,113.18,-184.04,2913.26,1.23
263,600588,用友网络,2015-03-31,24,-146,5343.33,-6782.45,243922.84,3.66
