,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
512,603727,博迈科,0.1,-66.67,,0.95,,2284.49,-56.14,,04-29
513,000679,大连友谊,0.03,-36.4,,0.82,,1134.21,-36.46,,04-29
514,601328,交通银行,0.26,0.0,7.93,3.03,,1932300.0,1.35,,04-29
515,601555,东吴证券,0.1,-16.67,,1.52,,31010.33,-9.4,,04-29
516,600319,亚星化学,,,,2.78,,20.73,-100.71,,04-29
517,601788,光大证券,0.13,-16.57,,1.25,,58721.14,-1.59,,04-29
518,603955,大千生态,0.02,9.22,,0.23,,154.77,9.29,,04-29
519,601899,紫金矿业,0.05,1466.67,,3.54,,100563.35,1477.2,,04-29
520,600006,东风汽车,0.04,-42.01,,1.08,,7031.14,-42.04,,04-29
521,000800,一汽轿车,0.1,-138.23,,2.08,,16172.89,-138.22,,04-29
522,601988,中国银行,0.15,0.0,4.59,3.44,1.31,4664900.0,0.06,,04-29
523,600026,中远海能,0.14,263.8,,2.03,,56311.47,264.05,,04-29
524,002192,融捷股份,0.0,-57.14,,0.04,,30.63,-57.47,,04-29
525,600053,九鼎投资,0.13,82.78,,2.99,,5476.92,82.92,,04-29
526,600425,*ST青松,-0.11,-0.88,,-3.92,,-15383.5,-1.18,,04-29
527,000850,华茂股份,0.01,-22.15,,0.24,,1093.01,-22.04,,04-29
528,600086,东方金钰,0.1,15.86,,4.33,,13311.21,15.89,,04-29
529,600479,千金药业,0.08,32.28,,1.58,,2773.75,32.28,,04-29
530,600498,烽火通信,0.13,18.18,,1.89,,13859.41,16.3,,04-29
531,000919,金陵药业,0.09,-9.92,,1.68,,4303.03,-9.97,,04-29
532,600121,*ST郑煤,0.22,-287.92,,7.65,,22745.11,-287.99,,04-29
533,000426,兴业矿业,0.05,-1700.0,,1.89,,9267.04,-2582.05,,04-29
534,600139,西部资源,-0.05,-24.4,1.48,-3.38,0.03,-3359.27,-24.51,,04-29
535,002594,比亚迪,0.2,-37.5,,1.15,,60579.5,-28.79,,04-29
536,603303,得邦照明,0.23,0.0,,3.14,,5479.45,34.66,,04-29
537,002610,爱康科技,0.0,-90.0,,0.17,,961.13,-30.21,,04-29
538,000981,银亿股份,0.02,-15.5,,0.77,,5155.31,4.31,,04-29
539,002626,金达威,0.11,37.5,,3.02,,6628.19,38.0,,04-29
540,000552,靖远煤电,0.05,10.89,,1.82,,11630.69,122.37,,04-29
541,603399,新华龙,0.0,-103.0,,0.08,,144.26,-102.89,,04-29
542,600589,广东榕泰,0.04,10.81,,0.97,,2910.99,10.99,,04-29
543,601011,宝泰隆,0.02,835.29,,0.5,,2178.72,851.65,,04-29
544,600232,金鹰股份,0.01,10.0,,0.35,,412.33,11.01,,04-29
545,600623,华谊集团,0.12,63.89,,1.53,,25087.14,65.04,,04-29
546,600250,南纺股份,-0.18,125.0,,-15.05,,-4646.97,122.1,,04-29
547,002725,跃岭股份,0.05,-37.5,,0.89,,811.01,-35.58,,04-29
548,600307,酒钢宏兴,0.04,-183.8,,2.41,,22340.22,-183.75,,04-29
549,002741,光华科技,0.02,41.86,,1.1,,878.56,42.07,,04-29
550,600697,欧亚集团,0.29,0.0,,2.16,,4635.88,0.35,,04-29
551,600325,华发股份,0.36,1700.0,,3.2,,42069.72,1546.81,,04-29
552,600715,文投控股,0.14,-36.36,,4.85,,22633.45,25.61,,04-29
553,600345,长江通信,0.33,450.0,,4.88,,6486.74,408.2,,04-29
554,601801,皖新传媒,0.31,14.81,,7.05,,62505.6,154.98,,04-29
555,600365,通葡股份,0.01,0.0,,0.32,,221.1,13.12,,04-29
556,000780,*ST平能,-0.02,-73.81,,-0.55,,-2253.15,-73.55,,04-29
557,600747,*ST大控,-0.01,-33.33,,-0.47,,-932.31,-30.98,,04-29
558,600753,东方银星,-0.01,-3750.0,,-0.66,,-93.15,-4080.59,,04-29
559,601919,中远海控,0.03,-106.82,,1.46,,27014.05,-106.02,,04-29
560,000007,全新好,,,,0.07,,27.69,-96.39,,04-29
561,600388,龙净环保,0.08,14.29,,2.08,,8408.87,9.92,,04-29
562,600770,综艺股份,0.01,-42.86,,0.3,,1029.73,-42.94,,04-29
563,601997,贵阳银行,0.42,-6.67,9.57,4.48,3.46,96692.5,19.56,,04-29
