,broker,count,bamount,bcount,samount,scount,top3
554,浙商证券股份有限公司杭州玉古路证券营业部,2,927.51,1,226.21,1,"海虹控股,广和通"
555,浙商证券股份有限公司桐乡世纪大道证券营业部,1,1088.79,1,0.0,0,德艺文创
556,兴业证券股份有限公司厦门杏林湾路证券营业部,3,0.68,3,0.0,0,"万通智控,伟隆股份,金陵体育"
557,华西证券股份有限公司重庆中山三路证券营业部,3,1073.25,2,506.01,1,"大丰实业,德艺文创,力盛赛车"
558,兴业证券股份有限公司福州五四路证券营业部,1,0.28,1,0.0,0,万通智控
559,国信证券股份有限公司昆明安康路证券营业部,1,751.41,1,0.0,0,透景生命
560,长城证券股份有限公司深圳福华三路证券营业部,1,0.0,0,0.31,1,万通智控
561,国泰君安证券股份有限公司上海自贸试验区分公司,2,98.35,1,118.99,1,正元智慧
562,申万宏源证券有限公司长沙蔡锷中路证券营业部,4,1337.32,3,471.71,1,"正元智慧,今飞凯达,德艺文创"
563,恒泰证券股份有限公司呼和浩特锡林南路证券营业部,2,977.27,2,0.0,0,"透景生命,仰帆控股"
564,光大证券股份有限公司南京中山东路证券营业部,1,0.0,0,0.31,1,万通智控
565,华泰证券股份有限公司盐城分公司,1,0.0,0,2.71,1,正元智慧
566,光大证券股份有限公司武汉紫阳路证券营业部,1,0.0,0,0.31,1,万通智控
567,申万宏源证券有限公司沈阳岐山中路证券营业部,1,0.0,0,2.71,1,正元智慧
568,国盛证券有限责任公司南昌物资大楼证券营业部,1,0.0,0,0.31,1,万通智控
569,东方证券股份有限公司上海杨浦区长阳路证券营业部,1,0.0,0,2.52,1,正元智慧
570,海通证券股份有限公司昆明东风西路证券营业部,1,0.0,0,0.31,1,万通智控
571,华泰证券股份有限公司深圳益田路证券营业部,7,3914.14,3,3163.85,4,"天山股份,正元智慧,三超新材,"
572,中信证券股份有限公司上海中信广场证券营业部,1,3.55,1,0.0,0,超频三
573,国联证券股份有限公司南京太平南路证券营业部,1,0.0,0,0.78,1,超频三
574,国信证券股份有限公司佛山季华六路证券营业部,1,0.0,0,0.78,1,超频三
575,信达证券股份有限公司宁波姚隘路证券营业部,2,166.17,1,221.91,1,星云股份
576,万联证券有限责任公司天津西马路证券营业部,1,5.75,1,0.0,0,太龙照明
577,华泰证券股份有限公司北京西三环北路证券营业部,8,5756.47,7,6.19,1,"吴江银行,泰山石油,清源股份,"
578,长江证券股份有限公司麻城将军北路证券营业部,1,0.0,0,1.11,1,太龙照明
579,南京证券股份有限公司宁波锦寓路证券营业部,1,0.12,1,0.0,0,杭州园林
580,方正证券股份有限公司娄底南贸西街证券营业部,1,0.0,0,1.11,1,太龙照明
581,国开证券有限责任公司北京中关村南大街证券营业部,1,0.0,0,0.65,1,杭州园林
582,中国银河证券股份有限公司福州中山路证券营业部,1,0.0,0,4.02,1,星云股份
583,国信证券股份有限公司大连和平广场证券营业部,2,0.0,0,5.35,2,"恒润股份,杭州园林"
584,南京证券股份有限公司银川怀远西路证券营业部,1,0.0,0,1.11,1,太龙照明
585,安信证券股份有限公司肇庆四会光明北路证券营业部,1,0.0,0,2.21,1,星云股份
586,国元证券股份有限公司中山体育路证券营业部,1,0.0,0,0.65,1,杭州园林
587,湘财证券股份有限公司南京江东中路证券营业部,1,0.0,0,1.11,1,太龙照明
588,华林证券股份有限公司江门港口路证券营业部,1,0.0,0,0.65,1,杭州园林
589,华泰证券股份有限公司南京鱼市街证券营业部,1,0.0,0,0.65,1,杭州园林
590,方正证券股份有限公司南京珠江路证券营业部,2,31.96,2,0.0,0,新日股份
591,平安证券股份有限公司辽宁分公司,2,0.0,0,5.09,2,新日股份
592,平安证券股份有限公司陕西分公司,1,0.0,0,2.12,1,新日股份
593,浙商证券股份有限公司厦门分公司,1,0.0,0,1.41,1,新日股份
594,申万宏源西部证券有限公司柳州东环大道证券营业部,1,0.0,0,1.41,1,新日股份
595,长城证券股份有限公司杭州文一西路证券营业部,5,4402.66,2,2873.29,3,"冀东装备,博天环境,石化机械,"
596,申万宏源证券有限公司上海徐汇区斜土路证券营业部,3,10971.28,3,0.0,0,"联泰环保,柳钢股份"
597,东兴证券股份有限公司永安牺和路证券营业部,1,960.49,1,0.0,0,联泰环保
598,国泰君安证券股份有限公司重庆新南路证券营业部,1,398.62,1,0.0,0,大晟文化
599,国泰君安证券股份有限公司福州杨桥东路证券营业部,1,792.91,1,0.0,0,联泰环保
600,东兴证券股份有限公司上海肇嘉浜路证券营业部,3,3372.63,3,0.0,0,"联泰环保,博深工具"
601,安信证券股份有限公司上海黄浦区跨龙路证券营业部,3,753.79,2,169.38,1,"正元智慧,大晟文化,浩云科技"
602,中泰证券股份有限公司厦门松柏路证券营业部,1,874.2,1,0.0,0,柳钢股份
603,光大证券股份有限公司海门江海中路证券营业部,3,2918.62,2,1254.76,1,"坤彩科技,陇神戎发"
604,申万宏源证券有限公司桐乡和平路证券营业部,2,170.72,1,341.81,1,"飞凯材料,大晟文化"
605,光大证券股份有限公司惠州淡水证券营业部,1,774.97,1,0.0,0,柳钢股份
606,湘财证券股份有限公司北京顺义站前街证券营业部,1,0.0,0,291.9,1,大晟文化
607,宏信证券有限责任公司上海桂平路证券营业部,1,0.0,0,2578.47,1,柳钢股份
608,中国银河证券股份有限公司广州大沙东路证券营业部,1,0.0,0,271.42,1,大晟文化
609,招商证券股份有限公司上海肇嘉浜路证券营业部,2,0.0,0,3084.76,2,柳钢股份
610,华泰证券股份有限公司湖南分公司,9,10468.68,5,7436.73,4,"八一钢铁,银龙股份,清源股份,"
611,华鑫证券有限责任公司西安科技路证券营业部,1,0.0,0,239.89,1,大晟文化
612,华融证券股份有限公司上海黄浦区中山东二路证券营业部,2,0.0,0,2697.95,2,柳钢股份
613,联储证券有限责任公司南京江东北路证券营业部,3,1000.34,1,2343.86,2,"柳钢股份,吴江银行"
614,光大证券股份有限公司内江公园街证券营业部,1,689.65,1,0.0,0,大丰实业
615,华泰证券股份有限公司孝感长征路证券营业部,1,581.88,1,0.0,0,大丰实业
616,国泰君安证券股份有限公司绍兴中兴中路证券营业部,1,419.15,1,0.0,0,大丰实业
617,华安证券股份有限公司六安分公司,7,2076.17,3,5162.85,4,"四通新材,龙蟠科技,五洋科技,"
