,code,name,date,weight
470,002093,国脉科技,2017-04-05,0.1
471,002002,鸿达兴业,2017-04-05,0.21
472,002161,远 望 谷,2017-04-05,0.13
473,000690,宝新能源,2017-04-05,0.28
474,000810,创维数字,2017-04-05,0.17
475,600280,中央商场,2017-04-05,0.12
476,600200,江苏吴中,2017-04-05,0.19
477,000762,西藏矿业,2017-04-05,0.19
478,300253,卫宁健康,2017-04-05,0.25
479,600736,苏州高新,2017-04-05,0.15
480,002194,武汉凡谷,2017-04-05,0.06
481,600575,皖江物流,2017-04-05,0.23
482,600158,中体产业,2017-04-05,0.3
483,000563,陕国投Ａ,2017-04-05,0.19
484,300297,蓝盾股份,2017-04-05,0.14
485,002018,华信国际,2017-04-05,0.19
486,002657,中科金财,2017-04-05,0.17
487,600825,新华传媒,2017-04-05,0.11
488,002698,博实股份,2017-04-05,0.1
489,002005,德豪润达,2017-04-05,0.14
490,600338,西藏珠峰,2017-04-05,0.11
491,600171,XD上海贝,2017-04-05,0.17
492,002707,众信旅游,2017-04-05,0.16
493,600260,凯乐科技,2017-04-05,0.25
494,600151,航天机电,2017-04-05,0.23
495,600536,中国软件,2017-04-05,0.17
496,002699,美盛文化,2017-04-05,0.13
497,600198,大唐电信,2017-04-05,0.25
498,002390,信邦制药,2017-04-05,0.21
499,000612,焦作万方,2017-04-05,0.2
