,code,name,mbrg,nprg,nav,targ,epsg,seg
1944,603268,松发股份,73.3569,-11.7241,25.877,47.8398,-20.0,5.2626
1945,300435,中泰股份,30.3494,-11.8946,8.1072,16.1747,-72.7273,8.1072
1946,002067,景兴纸业,28.7381,-11.902999999999999,10.3276,-0.2917,-20.0,10.4202
1947,300086,康芝药业,-9.1726,-11.9863,1.6819,-1.4105,-18.1373,2.1044
1948,002204,大连重工,-13.415,-12.1873,0.254,-3.4151,-80.0,0.4825
1949,603508,思维列控,-33.5077,-12.2512,7.5961,5.3526,-13.3333,6.6511
1950,002451,摩恩电气,-23.967,-12.2543,-4.2416,-12.5728,-8.3333,-1.4536
1951,000531,穗恒运A,65.5478,-12.4355,8.677999999999999,1.2554,-19.1449,9.7945
1952,002752,昇兴股份,-11.5344,-12.4562,25.2429,16.4241,-42.8571,22.0997
1953,002605,姚记扑克,-3.7627,-12.4805,44.012,44.3153,-14.4966,42.43600000000001
1954,300319,麦捷科技,-0.1541,-12.659,80.2418,48.2559,-22.2222,82.2011
1955,300147,香雪制药,45.4959,-12.690999999999999,3.6210000000000004,88.1482,-31.8,-0.5959
1956,002017,东信和平,0.1076,-12.9369,10.6928,5.0846,6.3025,10.2903
1957,002594,比亚迪,3.7510000000000003,-12.9539,52.7325,30.409000000000002,-37.5,57.1003
1958,300273,和佳股份,12.3234,-12.972000000000001,2.633,29.7485,-19.3501,1.8533
1959,002817,黄山胶囊,9.3593,-13.0219,,,-34.7826,
1960,300398,飞凯材料,9.2954,-13.0316,8.5491,12.6596,-76.4706,4.596
1961,603768,常青股份,53.0856,-13.138,,,-13.15,
1962,002750,龙津药业,33.2314,-13.2566,11.1998,6.7698,-56.4456,11.2026
1963,601333,广深铁路,7.4176,-13.4872,1.9515,3.3993,-13.0435,1.9701
1964,002049,紫光国芯,42.5163,-13.5179,11.7394,11.7493,-14.8792,11.1103
1965,600851,海欣股份,-7.5024,-13.5878,-3.2646,-4.0664,7.6923,-2.5257
1966,000783,长江证券,,-13.6143,52.8557,16.1037,-27.2727,53.137
1967,600101,明星电力,3.545,-13.6462,3.4094,3.0755,-20.0,3.819
1968,600894,广日股份,4.5658,-13.8008,6.204,4.1166,-12.4224,6.1411
1969,002779,中坚科技,10.915999999999999,-13.812000000000001,4.0089,-2.0799,-45.4545,4.0089
1970,603866,桃李面包,23.8844,-13.8322,9.0442,11.7676,-11.1111,9.0442
1971,603600,永艺股份,25.1249,-13.8449,12.4499,11.4233,-10.7143,11.4432
1972,000012,南玻A,17.2051,-13.9598,2.838,14.6288,-20.0,-1.2033
1973,600320,振华重工,-8.8966,-14.0591,5.9541,3.9604,100.0,4.0607
