,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
1101,002533,金杯电工,1.0974,328.0481,1.1881,303.0048,0.294,1224.4898
1102,002084,海鸥卫浴,1.2475,288.5772,1.188,303.0303,0.433,831.4088
1103,002495,佳隆股份,5.5767,64.5543,1.1879,303.0558,0.2277,1581.0277
1104,603601,再升科技,1.1653,308.9333,1.1865,303.4134,0.1108,3249.0975
1105,603179,新泉股份,1.5132,237.9064,1.1853,303.7206,0.4802,749.6876
1106,002206,海利得,1.5916,226.1875,1.1838,304.1054,0.298,1208.0537
1107,603906,龙蟠科技,2.2725,158.4158,1.1816,304.6716,0.4058,887.1365
1108,002799,环球印务,0.8162,441.0684,1.1815,304.6974,0.3176,1133.5013
1109,002824,和胜股份,1.2687,283.755,1.1802,305.033,0.4273,842.4994
1110,002806,华锋股份,0.6492,554.5287,1.18,305.0847,0.2966,1213.7559
1111,002645,华宏科技,1.5438,233.1908,1.1731,306.8792,0.3153,1141.7697
1112,002239,奥特佳,1.0172,353.9127,1.1723,307.0886,0.3231,1114.2061
1113,300241,瑞丰光电,0.8061,446.5947,1.1721,307.14099999999996,0.3228,1115.2416
1114,300632,光莆股份,0.7209,499.3758,1.171,307.4295,0.264,1363.6364
1115,002014,永新股份,1.1524,312.3915,1.1688,308.0082,0.3048,1181.1024
1116,002576,通达动力,1.4228,253.0222,1.168,308.2192,0.369,975.6098
1117,002456,欧菲光,0.8332,432.0691,1.1675,308.3512,0.4019,895.7452
1118,603266,天龙股份,0.8221,437.9029,1.1666,308.5891,0.3576,1006.7114
1119,600421,仰帆控股,1.1022,326.6195,1.1665,308.6155,0.47,765.9574
1120,300149,量子高科,1.145,314.4105,1.1654,308.9068,0.098,3673.4694
1121,603639,海利尔,3.0069999999999997,119.7207,1.1638,309.3315,0.3281,1097.2265
1122,300225,金力泰,0.5818,618.7693,1.1623,309.7307,0.212,1698.1132
1123,000541,佛山照明,1.5553,231.4666,1.1619,309.8373,0.3214,1120.0996
1124,600535,天士力,0.6364,565.682,1.1618,309.86400000000003,0.2886,1247.4012
1125,600338,西藏珠峰,5.6297,63.9466,1.1614,309.9707,0.6749,533.4124
1126,000920,南方汇通,6.0786,59.2242,1.1612,310.0241,0.5088,707.5472
1127,000530,大冷股份,0.5920000000000001,608.1081,1.1611,310.0508,0.2301,1564.5372
1128,300113,顺网科技,1.8749,192.0102,1.1566,311.2571,0.2246,1602.8495
1129,002499,科林环保,1.0779,333.9827,1.1555,311.5534,0.2426,1483.9242
1130,601258,庞大集团,10.1157,35.5882,1.1554,311.5804,0.3049,1180.715
1131,601777,力帆股份,1.3193,272.872,1.1539,311.9854,0.2111,1705.3529
1132,000903,云内动力,1.8844,191.0422,1.1529,312.256,0.2788,1291.2482
1133,000816,智慧农业,1.1907,302.3432,1.1457,314.2184,0.1664,2163.4615
1134,600966,博汇纸业,2.6623,135.2214,1.1453,314.3281,0.3287,1095.2236
1135,600332,白云山,4.9963,72.0533,1.1413,315.4298,0.2667,1349.8313
1136,603159,上海亚虹,1.288,279.5031,1.1409,315.5404,0.4391,819.8588
1137,600677,航天通信,1.0789,333.6732,1.14,315.7895,0.35200000000000004,1022.7273
1138,000719,大地传媒,1.3944,258.1756,1.1397,315.8726,0.2458,1464.6054
1139,300478,杭州高新,0.6707,536.7526,1.1392,316.0112,0.2301,1564.5372
1140,601199,江南水务,4.0162,89.637,1.1366,316.7341,0.0972,3703.7037
1141,600812,华北制药,1.5587,230.9617,1.1363,316.8177,0.3132,1149.4253
1142,603090,宏盛股份,0.7558,476.3165,1.1362,316.8456,0.1854,1941.7476
1143,600523,贵航股份,0.9401,382.93800000000005,1.1357,316.9851,0.3499,1028.8654
1144,002582,好想你,4.6809,76.9083,1.1353,317.0968,0.5999,600.1
1145,300245,天玑科技,0.4576,786.7133,1.1349,317.2086,0.1447,2487.906
1146,603936,博敏电子,1.1677,308.2984,1.1342,317.4043,0.4095,879.1209
1147,600967,内蒙一机,1.1648,309.0659,1.1328,317.7966,0.156,2307.6923
1148,000619,海螺型材,3.3162,108.55799999999999,1.1326,317.8527,0.2595,1387.2832
1149,002050,三花智控,1.5148,237.6551,1.1312,318.2461,0.3295,1092.5645
1150,002579,中京电子,1.0308,349.2433,1.1271,319.4038,0.3125,1152.0
1151,600213,亚星客车,0.0943,3817.6034,1.1245,320.1423,0.0701,5135.5207
1152,002660,茂硕电源,0.5541,649.7022,1.1239,320.3132,0.2632,1367.7812
1153,300528,幸福蓝海,1.1717,307.2459,1.1224,320.7413,0.2067,1741.6546
1154,603568,伟明环保,0.8420000000000001,427.5534,1.1209,321.1705,0.2152,1672.8625
1155,601567,三星医疗,0.6699,537.3936,1.1173,322.2053,0.1464,2459.0164
1156,603009,北特科技,1.2292,292.8734,1.1168,322.3496,0.2235,1610.7383
1157,002838,道恩股份,0.9675,372.093,1.1139,323.1888,0.2753,1307.6644
1158,002404,嘉欣丝绸,1.8011,199.8779,1.1134,323.3339,0.4439,810.9935
1159,002709,天赐材料,0.7629,471.8836,1.1122,323.6828,0.3174,1134.2155
1160,600155,宝硕股份,0.49,734.6939,1.1092,324.5582,0.0039,92307.6923
1161,300388,国祯环保,0.5529,651.1123,1.1079999999999999,324.9097,0.1904,1890.7563
1162,002011,盾安环境,1.0196,353.0796,1.1071,325.1739,0.2928,1229.5082
1163,600328,兰太实业,3.235,111.2828,1.1071,325.1739,0.5743,626.8501
1164,002497,雅化集团,1.2144,296.4427,1.1059999999999999,325.4973,0.3921,918.1331
1165,002706,良信电器,3.5889,100.3093,1.1056,325.6151,0.2177,1653.6518
1166,002368,太极股份,0.5786,622.1915,1.1052,325.7329,0.2502,1438.8489
1167,300615,欣天科技,0.6648,541.5162,1.1046,325.9098,0.1816,1982.3789
1168,300501,海顺新材,0.7272,495.0495,1.1008,327.0349,0.1648,2184.466
1169,002866,传艺科技,0.5922,607.9027,1.1007,327.0646,0.3201,1124.6485
1170,002718,友邦吊顶,5.0894,70.7353,1.0987,327.66,0.11800000000000001,3050.8475
1171,002394,联发股份,2.1736,165.6238,1.0982,327.8091,0.3475,1035.9712
1172,603728,鸣志电器,1.0225,352.0782,1.0972,328.1079,0.4489,801.9603
1173,002126,银轮股份,0.86,418.6047,1.097,328.1677,0.39799999999999996,904.5226
1174,603239,浙江仙通,1.0109,356.1183,1.0966,328.2874,0.2373,1517.067
1175,600839,四川长虹,2.0139,178.7576,1.0963,328.3773,0.3772,954.4008
1176,600148,长春一东,0.7393,486.9471,1.0956,328.5871,0.2768,1300.578
1177,603208,江山欧派,1.6419,219.2582,1.0946,328.8873,0.2301,1564.5372
1178,600365,通葡股份,6.0018,59.982,1.0939,329.0977,0.5027,716.1329
1179,002421,达实智能,0.2923,1231.6114,1.0936,329.18800000000005,0.1474,2442.3338
1180,300596,利安隆,1.4931,241.1091,1.0909,330.0028,0.4052,888.4501
1181,603180,金牌厨柜,22.2172,16.2037,1.0904,330.1541,0.5924,607.6975
